Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,weather_condition_set_1d,weather_summary_set_1d,cloud_layer_1_set_1d,cloud_layer_2_set_1d,cloud_layer_3_set_1d,dew_point_temperature_set_1d,pressure_set_1d,sea_level_pressure_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,INHG,code,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Miles/hour,Feet,code,Fahrenheit,Fahrenheit,Degrees,Fahrenheit,code,Fahrenheit,code,code,code,code,code,Fahrenheit,INHG,INHG
KLGB,08/01/2023 00:00 PDT,29.96,73.4,,78.24,3.45,110,,,,,,,,1,,,,9,,METAR KLGB 010700Z AUTO 11003KT 9SM CLR 23/19 A2996,,,,,,,,,,ESE,,,clear,,,,66.18,29.9,29.96
KLGB,08/01/2023 00:05 PDT,29.96,73.4,,78.24,3.45,100,,,,,,,,1,,,,9,,METAR KLGB 010705Z AUTO 10003KT 9SM CLR 23/19 A2996,,,,,,,,,,E,,,clear,,,,66.18,29.9,29.96
KLGB,08/01/2023 00:10 PDT,29.96,73.4,,78.24,3.45,100,,,,,,,,1,,,,9,,METAR KLGB 010710Z AUTO 10003KT 9SM CLR 23/19 A2996,,,,,,,,,,E,,,clear,,,,66.18,29.9,29.96
KLGB,08/01/2023 00:15 PDT,29.96,73.4,,78.24,3.45,90,,,,,,,,1,,,,9,,METAR KLGB 010715Z AUTO 09003KT 9SM CLR 23/19 A2996,,,,,,,,,,E,,,clear,,,,66.18,29.9,29.96
KLGB,08/01/2023 00:20 PDT,29.96,73.4,,78.24,4.6,90,,,,,,,,1,,,,9,,METAR KLGB 010720Z AUTO 09004KT 9SM CLR 23/19 A2996,,,,,,,,,,E,,,clear,,,,66.18,29.9,29.96
KLGB,08/01/2023 00:25 PDT,29.96,73.4,,78.24,3.45,90,,,,,,,,1,,,,9,,METAR KLGB 010725Z AUTO 09003KT 9SM CLR 23/19 A2996,,,,,,,,,,E,,,clear,,,,66.18,29.9,29.96
KLGB,08/01/2023 00:30 PDT,29.96,73.4,,78.24,3.45,120,,,,,,,,1,,,,10,,METAR KLGB 010730Z AUTO 12003KT 10SM CLR 23/19 A2996,,,,,,,,,,ESE,,,clear,,,,66.18,29.9,29.96
KLGB,08/01/2023 00:35 PDT,29.96,73.4,,78.24,4.6,120,,,,,,,,1,,,,10,,METAR KLGB 010735Z AUTO 12004KT 10SM CLR 23/19 A2996,,,,,,,,,,ESE,,,clear,,,,66.18,29.9,29.96
KLGB,08/01/2023 00:40 PDT,29.96,73.4,,78.24,4.6,110,,,,,,,,1,,,,10,,METAR KLGB 010740Z AUTO 11004KT 10SM CLR 23/19 A2996,,,,,,,,,,ESE,,,clear,,,,66.18,29.9,29.96
KLGB,08/01/2023 00:45 PDT,29.96,73.4,,78.24,3.45,120,,,,,,,,1,,,,10,,METAR KLGB 010745Z AUTO 12003KT 10SM CLR 23/19 A2996,,,,,,,,,,ESE,,,clear,,,,66.18,29.9,29.96
KLGB,08/01/2023 00:50 PDT,29.96,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010750Z AUTO 00000KT 10SM CLR 23/19 A2996,,,,,,,,,,N,,,clear,,,,66.18,29.9,29.96
KLGB,08/01/2023 00:53 PDT,29.96,73.04,66.92,81.19,0,0,,29.95,,,,,,1,,,,10,,METAR KLGB 010753Z AUTO 00000KT 10SM CLR 23/19 A2996 RMK AO2 SLP143  T02280194 403220217,,,,,,89.96,71.06,,,N,,,clear,,,,66.91,29.9,29.96
KLGB,08/01/2023 00:55 PDT,29.96,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010755Z AUTO 00000KT 10SM CLR 23/19 A2996,,,,,,,,,,N,,,clear,,,,66.18,29.9,29.96
KLGB,08/01/2023 01:00 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010800Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 01:05 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010805Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 01:10 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010810Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 01:15 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010815Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 01:20 PDT,29.95,73.4,,78.24,3.45,330,,,,,,,,1,,,,10,,METAR KLGB 010820Z AUTO 33003KT 10SM CLR 23/19 A2995,,,,,,,,,,NNW,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 01:25 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010825Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 01:30 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010830Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 01:35 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010835Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 01:40 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010840Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 01:45 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010845Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 01:50 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010850Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 01:53 PDT,29.95,73.94,66.02,76.36,0,0,,29.94,,,8004,,,1,,,,10,,METAR KLGB 010853Z AUTO 00000KT 10SM CLR 23/19 A2995 RMK AO2 SLP140  T02330189 58004,,,,,,,,,,N,,,clear,,,,66.01,29.89,29.95
KLGB,08/01/2023 01:55 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010855Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 02:00 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010900Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 02:05 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010905Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 02:10 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010910Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 02:15 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010915Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 02:20 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010920Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 02:25 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010925Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 02:30 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010930Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 02:35 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010935Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 02:40 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010940Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 02:45 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010945Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 02:50 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010950Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 02:53 PDT,29.95,73.04,66.92,81.19,0,0,,29.95,,,,,,1,,,,10,,METAR KLGB 010953Z AUTO 00000KT 10SM CLR 23/19 A2995 RMK AO2 SLP141  T02280194,,,,,,,,,,N,,,clear,,,,66.91,29.89,29.95
KLGB,08/01/2023 02:55 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 010955Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 03:00 PDT,29.95,73.4,,78.24,3.45,220,,,,,,,,1,,,,10,,METAR KLGB 011000Z AUTO 22003KT 10SM CLR 23/19 A2995,,,,,,,,,,SW,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 03:05 PDT,29.95,73.4,,78.24,4.6,220,,,,,,,,1,,,,10,,METAR KLGB 011005Z AUTO 22004KT 10SM CLR 23/19 A2995,,,,,,,,,,SW,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 03:10 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 011010Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 03:15 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 011015Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 03:20 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 011020Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 03:25 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 011025Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 03:30 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 011030Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 03:35 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 011035Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 03:40 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 011040Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 03:45 PDT,29.95,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 011045Z AUTO 00000KT 10SM CLR 23/19 A2995,,,,,,,,,,N,,,clear,,,,66.18,29.89,29.95
KLGB,08/01/2023 03:50 PDT,29.94,73.4,,78.24,0,0,,,,,,,,1,,,,10,,METAR KLGB 011050Z AUTO 00000KT 10SM CLR 23/19 A2994,,,,,,,,,,N,,,clear,,,,66.18,29.88,29.94
