Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,weather_condition_set_1d,weather_summary_set_1d,cloud_layer_1_set_1d,cloud_layer_2_set_1d,cloud_layer_3_set_1d,dew_point_temperature_set_1d,pressure_set_1d,sea_level_pressure_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,INHG,code,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Miles/hour,Feet,code,Fahrenheit,Fahrenheit,Degrees,Fahrenheit,code,Fahrenheit,code,code,code,code,code,Fahrenheit,INHG,INHG
KLGB,02/01/2024 00:00 PST,29.91,57.2,,82.14,6.91,100,,,,,,,,1,,,,10,,METAR KLGB 010800Z AUTO 10006KT 10SM CLR 14/11 A2991,,,,,,,,,,E,,,clear,,,,51.75,29.85,29.91
KLGB,02/01/2024 00:05 PST,29.91,57.2,,82.14,6.91,90,,,,,,,,136,,,,10,,METAR KLGB 010805Z AUTO 09006KT 10SM FEW013 14/11 A2991,,,,,,,,,,E,,,thin scattered,,,,51.75,29.85,29.91
KLGB,02/01/2024 00:10 PST,29.89,57.2,,82.14,10.36,80,,,,,,,,136,1102,,,10,,METAR KLGB 010810Z AUTO 08009KT 10SM FEW013 SCT110 14/11 A2989,,,,,,,,,,E,,,scattered,,,,51.75,29.83,29.89
KLGB,02/01/2024 00:15 PST,29.86,57.2,,82.14,12.66,80,,,,1203,,,,136,1002,,,10,,METAR KLGB 010815Z AUTO 08011KT 10SM FEW013 SCT100 BKN120 14/11 A2986,,,,12000,,,,,,E,,,broken,,,,51.75,29.8,29.86
KLGB,02/01/2024 00:20 PST,29.87,57.2,,82.14,9.21,100,,,13,1203,,,,136,802,,,10,,METAR KLGB 010820Z AUTO 10008KT 10SM -RA FEW013 SCT080 BKN120 14/11 A2987,,,,12000,,,,,,E,,light rain,light rain,,,,51.75,29.81,29.87
KLGB,02/01/2024 00:25 PST,29.87,57.2,,82.14,10.36,90,,,13,1103,,,,136,556,,,10,,METAR KLGB 010825Z AUTO 09009KT 10SM -RA FEW013 FEW055 BKN110 14/11 A2987,,,,11000,,,,,,E,,light rain,light rain,,,,51.75,29.81,29.87
KLGB,02/01/2024 00:30 PST,29.88,57.2,,82.14,11.51,110,,,,,,,,136,1103,,,10,,METAR KLGB 010830Z AUTO 11010KT 10SM FEW013 BKN110 14/11 A2988,,,,11000,,,,,,ESE,,,broken,,,,51.75,29.82,29.88
KLGB,02/01/2024 00:35 PST,29.87,57.2,,82.14,12.66,110,,,,,,,,1102,,,,10,,METAR KLGB 010835Z AUTO 11011KT 10SM SCT110 14/11 A2987,,,,,,,,,,ESE,,,scattered,,,,51.75,29.81,29.87
KLGB,02/01/2024 00:40 PST,29.88,57.2,,82.14,11.51,110,,,,,,,,1102,,,,10,,METAR KLGB 010840Z AUTO 11010KT 10SM SCT110 14/11 A2988,,,,,,,,,,ESE,,,scattered,,,,51.75,29.82,29.88
KLGB,02/01/2024 00:45 PST,29.88,57.2,,82.14,10.36,120,,,,,,,,1106,,,,10,,METAR KLGB 010845Z AUTO 12009KT 10SM FEW110 14/11 A2988,,,,,,,,,,ESE,,,thin scattered,,,,51.75,29.82,29.88
KLGB,02/01/2024 00:50 PST,29.87,57.2,,82.14,11.51,100,,,,,,,,1106,,,,10,,METAR KLGB 010850Z AUTO 10010KT 10SM FEW110 14/11 A2987,,,,,,,,,,E,,,thin scattered,,,,51.75,29.81,29.87
KLGB,02/01/2024 00:53 PST,29.86,57.92,51.08,77.94,11.51,110,,29.86,,,8021,0.001,0.001,1106,,,,10,,METAR KLGB 010853Z 11010KT 10SM FEW110 14/11 A2986 RMK AO2 RAB19E30  SLP112 P0000 60000 T01440106 58021,,,,,,,,,,ESE,,,thin scattered,,,,51.02,29.8,29.86
KLGB,02/01/2024 00:55 PST,29.86,57.2,,82.14,12.66,110,,,,,,,,1106,,,,10,,METAR KLGB 010855Z AUTO 11011KT 10SM FEW110 14/11 A2986,,,,,,,,,,ESE,,,thin scattered,,,,51.75,29.8,29.86
KLGB,02/01/2024 01:00 PST,29.86,57.2,,82.14,10.36,110,,,,,,,,1106,,,,10,,METAR KLGB 010900Z AUTO 11009KT 10SM FEW110 14/11 A2986,,,,,,,,,,ESE,,,thin scattered,,,,51.75,29.8,29.86
KLGB,02/01/2024 01:05 PST,29.85,57.2,,82.14,11.51,100,,,,,,,,1106,,,,10,,METAR KLGB 010905Z AUTO 10010KT 10SM FEW110 14/11 A2985,,,,,,,,,,E,,,thin scattered,,,,51.75,29.79,29.85
KLGB,02/01/2024 01:10 PST,29.84,57.2,,82.14,10.36,110,,,,,,,,1106,,,,10,,METAR KLGB 010910Z AUTO 11009KT 10SM FEW110 14/11 A2984,,,,,,,,,,ESE,,,thin scattered,,,,51.75,29.78,29.84
KLGB,02/01/2024 01:15 PST,29.85,57.2,,82.14,14.96,120,,,,,,,,1102,,,,10,,METAR KLGB 010915Z AUTO 12013KT 10SM SCT110 14/11 A2985,,,,,,,,,,ESE,,,scattered,,,,51.75,29.79,29.85
