Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,weather_condition_set_1d,weather_summary_set_1d,cloud_layer_1_set_1d,cloud_layer_2_set_1d,cloud_layer_3_set_1d,dew_point_temperature_set_1d,pressure_set_1d,sea_level_pressure_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,INHG,code,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Miles/hour,Feet,code,Fahrenheit,Fahrenheit,Degrees,Fahrenheit,code,Fahrenheit,code,code,code,code,code,Fahrenheit,INHG,INHG
KLGB,01/01/2024 00:00 PST,30.05,51.8,,87.48,0,0,,,31,,,,,1,,,,5,,METAR KLGB 010800Z AUTO 00000KT 5SM BR CLR 11/09 A3005,,,,,,,,,,N,,mist,mist,,,,48.16,29.99,30.05
KLGB,01/01/2024 00:05 PST,30.05,53.6,,81.88,0,0,,,31,,,,,1,,,,5,,METAR KLGB 010805Z AUTO 00000KT 5SM BR CLR 12/09 A3005,,,,,,,,,,N,,mist,mist,,,,48.14,29.99,30.05
KLGB,01/01/2024 00:10 PST,30.05,53.6,,81.88,0,0,,,31,,,,,1,,,,5,,METAR KLGB 010810Z AUTO 00000KT 5SM BR CLR 12/09 A3005,,,,,,,,,,N,,mist,mist,,,,48.14,29.99,30.05
KLGB,01/01/2024 00:15 PST,30.05,51.8,,87.48,0,0,,,31,,,,,1,,,,5,,METAR KLGB 010815Z AUTO 00000KT 5SM BR CLR 11/09 A3005,,,,,,,,,,N,,mist,mist,,,,48.16,29.99,30.05
KLGB,01/01/2024 00:20 PST,30.05,53.6,,81.88,0,0,,,31,,,,,1,,,,4,,METAR KLGB 010820Z AUTO 00000KT 4SM BR CLR 12/09 A3005,,,,,,,,,,N,,mist,mist,,,,48.14,29.99,30.05
KLGB,01/01/2024 00:25 PST,30.05,51.8,,87.48,0,0,,,31,,,,,1,,,,4,,METAR KLGB 010825Z AUTO 00000KT 4SM BR CLR 11/09 A3005,,,,,,,,,,N,,mist,mist,,,,48.16,29.99,30.05
KLGB,01/01/2024 00:30 PST,30.05,53.6,,81.88,0,0,,,31,,,,,1,,,,4,,METAR KLGB 010830Z AUTO 00000KT 4SM BR CLR 12/09 A3005,,,,,,,,,,N,,mist,mist,,,,48.14,29.99,30.05
KLGB,01/01/2024 00:35 PST,30.05,53.6,,87.57,0,0,,,31,,,,,1,,,,4,,METAR KLGB 010835Z AUTO 00000KT 4SM BR CLR 12/10 A3005,,,,,,,,,,N,,mist,mist,,,,49.96,29.99,30.05
KLGB,01/01/2024 00:40 PST,30.05,53.6,,87.57,0,0,,,31,,,,,1,,,,4,,METAR KLGB 010840Z AUTO 00000KT 4SM BR CLR 12/10 A3005,,,,,,,,,,N,,mist,mist,,,,49.96,29.99,30.05
KLGB,01/01/2024 00:45 PST,30.05,53.6,,87.57,0,0,,,31,,,,,1,,,,4,,METAR KLGB 010845Z AUTO 00000KT 4SM BR CLR 12/10 A3005,,,,,,,,,,N,,mist,mist,,,,49.96,29.99,30.05
KLGB,01/01/2024 00:50 PST,30.05,53.6,,87.57,0,0,,,31,,,,,1,,,,3.5,,METAR KLGB 010850Z AUTO 00000KT 3 1/2SM BR CLR 12/10 A3005,,,,,,,,,,N,,mist,mist,,,,49.96,29.99,30.05
KLGB,01/01/2024 00:53 PST,30.05,53.06,50,89.32,3.45,300,,30.05,31,,8003,,,1,,,,3,,METAR KLGB 010853Z AUTO 30003KT 3SM BR CLR 12/10 A3005 RMK AO2 SLP176  T01170100 58003,,,,,,,,,,WNW,,mist,mist,,,,49.97,29.99,30.05
KLGB,01/01/2024 00:55 PST,30.05,53.6,,87.57,3.45,290,,,31,,,,,1,,,,3.5,,METAR KLGB 010855Z AUTO 29003KT 3 1/2SM BR CLR 12/10 A3005,,,,,,,,,,WNW,,mist,mist,,,,49.96,29.99,30.05
KLGB,01/01/2024 01:00 PST,30.05,53.6,,87.57,3.45,300,,,31,,,,,1,,,,3,,METAR KLGB 010900Z AUTO 30003KT 3SM BR CLR 12/10 A3005,,,,,,,,,,WNW,,mist,mist,,,,49.96,29.99,30.05
KLGB,01/01/2024 01:05 PST,30.05,53.6,,87.57,0,0,,,31,,,,,1,,,,3,,METAR KLGB 010905Z AUTO 00000KT 3SM BR CLR 12/10 A3005,,,,,,,,,,N,,mist,mist,,,,49.96,29.99,30.05
KLGB,01/01/2024 01:10 PST,30.05,53.6,,87.57,3.45,340,,,31,,,,,1,,,,3,,METAR KLGB 010910Z AUTO 34003KT 3SM BR CLR 12/10 A3005,,,,,,,,,,NNW,,mist,mist,,,,49.96,29.99,30.05
