Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,weather_condition_set_1d,weather_summary_set_1d,cloud_layer_1_set_1d,cloud_layer_2_set_1d,cloud_layer_3_set_1d,dew_point_temperature_set_1d,pressure_set_1d,sea_level_pressure_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,INHG,code,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Miles/hour,Feet,code,Fahrenheit,Fahrenheit,Degrees,Fahrenheit,code,Fahrenheit,code,code,code,code,code,Fahrenheit,INHG,INHG
KLGB,10/01/2023 00:00 PDT,29.86,64.4,,67.99,6.91,260,,,,,,,,246,653,,,10,,METAR KLGB 010700Z AUTO 26006KT 10SM FEW024 BKN065 18/12 A2986,,,,6500,,,,,,W,,,broken,,,,53.54,29.8,29.86
KLGB,10/01/2023 00:05 PDT,29.86,64.4,,67.99,6.91,250,,,,,,,,246,653,,,10,,METAR KLGB 010705Z AUTO 25006KT 10SM FEW024 BKN065 18/12 A2986,,,,6500,,,,,,WSW,,,broken,,,,53.54,29.8,29.86
KLGB,10/01/2023 00:10 PDT,29.86,64.4,,67.99,6.91,250,,,,,,,,653,,,,10,,METAR KLGB 010710Z AUTO 25006KT 10SM BKN065 18/12 A2986,,,,6500,,,,,,WSW,,,broken,,,,53.54,29.8,29.86
KLGB,10/01/2023 00:15 PDT,29.86,64.4,,67.99,8.06,260,,,,,,,,653,,,,10,,METAR KLGB 010715Z AUTO 26007KT 10SM BKN065 18/12 A2986,,,,6500,,,,,,W,,,broken,,,,53.54,29.8,29.86
KLGB,10/01/2023 00:20 PDT,29.86,64.4,,67.99,10.36,250,,,,,,,,654,,,,10,,METAR KLGB 010720Z AUTO 25009KT 10SM OVC065 18/12 A2986,,,,6500,,,,,,WSW,,,overcast,,,,53.54,29.8,29.86
KLGB,10/01/2023 00:25 PDT,29.86,64.4,,67.99,8.06,250,,,,,,,,654,,,,10,,METAR KLGB 010725Z AUTO 25007KT 10SM OVC065 18/12 A2986,,,,6500,,,,,,WSW,,,overcast,,,,53.54,29.8,29.86
KLGB,10/01/2023 00:30 PDT,29.87,64.4,,67.99,8.06,260,,,,,,,,654,,,,10,,METAR KLGB 010730Z AUTO 26007KT 10SM OVC065 18/12 A2987,,,,6500,,,,,,W,,,overcast,,,,53.54,29.81,29.87
KLGB,10/01/2023 00:35 PDT,29.87,64.4,,67.99,6.91,260,,,,,,,,654,,,,10,,METAR KLGB 010735Z AUTO 26006KT 10SM OVC065 18/12 A2987,,,,6500,,,,,,W,,,overcast,,,,53.54,29.81,29.87
KLGB,10/01/2023 00:40 PDT,29.87,64.4,,63.64,6.91,250,,,,,,,,654,,,,10,,METAR KLGB 010740Z AUTO 25006KT 10SM OVC065 18/11 A2987,,,,6500,,,,,,WSW,,,overcast,,,,51.73,29.81,29.87
KLGB,10/01/2023 00:45 PDT,29.87,64.4,,63.64,9.21,240,,,,,,,,654,,,,10,,METAR KLGB 010745Z AUTO 24008KT 10SM OVC065 18/11 A2987,,,,6500,,,,,,WSW,,,overcast,,,,51.73,29.81,29.87
KLGB,10/01/2023 00:50 PDT,29.87,64.4,,63.64,9.21,250,,,,,,,,654,,,,10,,METAR KLGB 010750Z AUTO 25008KT 10SM OVC065 18/11 A2987,,,,6500,,,,,,WSW,,,overcast,,,,51.73,29.81,29.87
KLGB,10/01/2023 00:53 PDT,29.87,64.04,51.98,64.88,8.06,250,,29.86,,,,,,654,,,,10,,METAR KLGB 010753Z AUTO 25007KT 10SM OVC065 18/11 A2987 RMK AO2 SLP113  T01780111 402280178,,,,6500,,73.04,64.04,,,WSW,,,overcast,,,,51.91,29.81,29.87
KLGB,10/01/2023 00:55 PDT,29.87,64.4,,63.64,6.91,250,,,,,,,,654,,,,10,,METAR KLGB 010755Z AUTO 25006KT 10SM OVC065 18/11 A2987,,,,6500,,,,,,WSW,,,overcast,,,,51.73,29.81,29.87
KLGB,10/01/2023 01:00 PDT,29.87,64.4,,63.64,5.75,250,,,,,,,,654,,,,10,,METAR KLGB 010800Z AUTO 25005KT 10SM OVC065 18/11 A2987,,,,6500,,,,,,WSW,,,overcast,,,,51.73,29.81,29.87
KLGB,10/01/2023 01:05 PDT,29.87,64.4,,63.64,5.75,250,,,,,,,,654,,,,10,,METAR KLGB 010805Z AUTO 25005KT 10SM OVC065 18/11 A2987,,,,6500,,,,,,WSW,,,overcast,,,,51.73,29.81,29.87
KLGB,10/01/2023 01:10 PDT,29.87,64.4,,63.64,5.75,250,,,,,,,,654,,,,10,,METAR KLGB 010810Z AUTO 25005KT 10SM OVC065 18/11 A2987,,,,6500,,,,,,WSW,,,overcast,,,,51.73,29.81,29.87
KLGB,10/01/2023 01:15 PDT,29.87,64.4,,63.64,5.75,240,,,,,,,,654,,,,10,,METAR KLGB 010815Z AUTO 24005KT 10SM OVC065 18/11 A2987,,,,6500,,,,,,WSW,,,overcast,,,,51.73,29.81,29.87
