Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,weather_condition_set_1d,weather_summary_set_1d,cloud_layer_1_set_1d,cloud_layer_2_set_1d,cloud_layer_3_set_1d,dew_point_temperature_set_1d,pressure_set_1d,sea_level_pressure_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,INHG,code,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Miles/hour,Feet,code,Fahrenheit,Fahrenheit,Degrees,Fahrenheit,code,Fahrenheit,code,code,code,code,code,Fahrenheit,INHG,INHG
KLGB,09/01/2023 00:00 PDT,29.81,69.8,,83.01,0,0,,,,,,,,134,,,,8,,METAR KLGB 010700Z AUTO 00000KT 8SM OVC013 21/18 A2981,,,,1300,,,,,,N,,,overcast,,,,64.38,29.75,29.81
KLGB,09/01/2023 00:05 PDT,29.81,69.8,,83.01,0,0,,,,,,,,134,,,,8,,METAR KLGB 010705Z AUTO 00000KT 8SM OVC013 21/18 A2981,,,,1300,,,,,,N,,,overcast,,,,64.38,29.75,29.81
KLGB,09/01/2023 00:10 PDT,29.81,69.8,,83.01,3.45,160,,,,,,,,134,,,,8,,METAR KLGB 010710Z AUTO 16003KT 8SM OVC013 21/18 A2981,,,,1300,,,,,,SSE,,,overcast,,,,64.38,29.75,29.81
KLGB,09/01/2023 00:15 PDT,29.81,69.8,,83.01,3.45,170,,,,,,,,134,,,,8,,METAR KLGB 010715Z AUTO 17003KT 8SM OVC013 21/18 A2981,,,,1300,,,,,,S,,,overcast,,,,64.38,29.75,29.81
KLGB,09/01/2023 00:20 PDT,29.81,69.8,,83.01,3.45,170,,,,,,,,134,,,,8,,METAR KLGB 010720Z AUTO 17003KT 8SM OVC013 21/18 A2981,,,,1300,,,,,,S,,,overcast,,,,64.38,29.75,29.81
KLGB,09/01/2023 00:25 PDT,29.81,69.8,,83.01,3.45,170,,,,,,,,133,,,,8,,METAR KLGB 010725Z AUTO 17003KT 8SM BKN013 21/18 A2981,,,,1300,,,,,,S,,,broken,,,,64.38,29.75,29.81
KLGB,09/01/2023 00:30 PDT,29.81,69.8,,83.01,3.45,150,,,,,,,,133,,,,8,,METAR KLGB 010730Z AUTO 15003KT 8SM BKN013 21/18 A2981,,,,1300,,,,,,SSE,,,broken,,,,64.38,29.75,29.81
KLGB,09/01/2023 00:35 PDT,29.81,69.8,,83.01,3.45,160,,,,,,,,143,,,,8,,METAR KLGB 010735Z AUTO 16003KT 8SM BKN014 21/18 A2981,,,,1400,,,,,,SSE,,,broken,,,,64.38,29.75,29.81
KLGB,09/01/2023 00:40 PDT,29.81,69.8,,83.01,3.45,170,,,,,,,,142,,,,8,,METAR KLGB 010740Z AUTO 17003KT 8SM SCT014 21/18 A2981,,,,,,,,,,S,,,scattered,,,,64.38,29.75,29.81
